Year,Month,Title,URL
2019,8,"Bunga Acuan Sudah Dipangkas 2 Kali, kok Saham Bank Longsor?",https://www.cnbcindonesia.com/market/20190827152711-17-95078/bunga-acuan-sudah-dipangkas-2-kali-kok-saham-bank-longsor
2019,8,"AS-China Bisa Rujuk, IHSG Cetak Penguatan 0,74%",https://www.cnbcindonesia.com/market/20190827122646-17-95007/as-china-bisa-rujuk-ihsg-cetak-penguatan-074
2019,9,Akhirnya! 6 Bank Setujui Restrukturisasi Krakatau Steel,https://www.cnbcindonesia.com/market/20190930190331-17-103301/akhirnya-6-bank-setujui-restrukturisasi-krakatau-steel
2019,9,"Moody's Sebut Bank RI Paling Rentan, Harga Saham Nyungsep",https://www.cnbcindonesia.com/market/20190930142444-17-103176/moodys-sebut-bank-ri-paling-rentan-harga-saham-nyungsep
2019,9,"Kapitalisasi HMSP Digusur Astra, BBNI Disalip Indofood CBP",https://www.cnbcindonesia.com/market/20190930122608-17-103111/kapitalisasi-hmsp-digusur-astra-bbni-disalip-indofood-cbp
2019,9,"Siap Stock Split, Ini Alasan Utama Unilever",https://www.cnbcindonesia.com/market/20190930081018-17-103030/siap-stock-split-ini-alasan-utama-unilever
2019,9,"Siap Stock Split, Saham Unilever kok Langsung Amblas?",https://www.cnbcindonesia.com/market/20190930080554-17-103029/siap-stock-split-saham-unilever-kok-langsung-amblas
2019,10,"Bos BCA: Tiap Kali Penerbitan SBN Ritel, DPK Terbang 30%",https://www.cnbcindonesia.com/market/20191031142141-17-111707/bos-bca-tiap-kali-penerbitan-sbn-ritel-dpk-terbang-30
2019,10,Optimistis! Bos OJK Prediksi Kredit Bank Tumbuh 12% di 2019,https://www.cnbcindonesia.com/market/20191031103141-17-111566/optimistis-bos-ojk-prediksi-kredit-bank-tumbuh-12-di-2019
2019,10,"The Fed Pangkas Bunga Acuan Lagi, Ini Saham Pilihan Hari Ini",https://www.cnbcindonesia.com/market/20191031083059-17-111538/the-fed-pangkas-bunga-acuan-lagi-ini-saham-pilihan-hari-ini
2019,10,"Jualan Asing Berkurang, 5 Saham Ini Diborong Hingga Rp 458 M",https://www.cnbcindonesia.com/market/20191030221153-17-111515/jualan-asing-berkurang-5-saham-ini-diborong-hingga-rp-458-m
2019,10,"Kembali Melejit di Menit Akhir, IHSG Menguat 3 Hari Beruntun",https://www.cnbcindonesia.com/market/20191030164623-17-111436/kembali-melejit-di-menit-akhir-ihsg-menguat-3-hari-beruntun
2019,11,"IHSG di Bawah 6.000, Asing Sudah Kabur Rp 3,1 T",https://www.cnbcindonesia.com/market/20191129100851-17-118955/ihsg-di-bawah-6000-asing-sudah-kabur-rp-31-t
2019,11,"Sebelum Transaksi, Simak Aksi Korporasi Perusahaan Domestik",https://www.cnbcindonesia.com/market/20191129081218-17-118914/sebelum-transaksi-simak-aksi-korporasi-perusahaan-domestik
2019,11,"Mitigasi Resesi, Bank Batasi Kredit Valas",https://www.cnbcindonesia.com/market/20191128193139-17-118864/mitigasi-resesi-bank-batasi-kredit-valas
2019,11,"2020, BBCA Suntik Modal Bank Royal Rp 700 M",https://www.cnbcindonesia.com/market/20191128191521-17-118862/2020-bbca-suntik-modal-bank-royal-rp-700-m
2019,11,Bos BCA Bicara Soal Dewan Pengawas OJK,https://www.cnbcindonesia.com/market/20191128175029-17-118841/bos-bca-bicara-soal-dewan-pengawas-ojk
2019,12,"Belum Oversold, IHSG Pasrah Turun di Hari Terakhir",https://www.cnbcindonesia.com/market/20191230183116-17-126580/belum-oversold-ihsg-pasrah-turun-di-hari-terakhir
2019,12,"Jelang Akhir Tahun 2019, IHSG Berpotensi Tutup di Atas 6.350",https://www.cnbcindonesia.com/market/20191227195853-17-126200/jelang-akhir-tahun-2019-ihsg-berpotensi-tutup-di-atas-6350
2019,12,"Berkat Santa Claus Rally, IHSG Menguat 4 Hari Beruntun",https://www.cnbcindonesia.com/market/20191227163123-17-126118/berkat-santa-claus-rally-ihsg-menguat-4-hari-beruntun
